generation,individual_id,decoded_architecture,predicted_psnr,params
3,18,1 7 0 4 7 4 5 6 3 6 2 0 0 0 0 3 7 2 1 7 1 3 2 3 3 0 3 1,-31.767653506021038,461600
3,19,0 4 7 5 5 1 1 4 3 7 7 7 1 3 6 0 3 2 0 3 5 1 5 5 4 4 3 4,-30.83497775994537,43712
3,20,0 4 7 5 5 1 1 4 2 6 0 1 0 3 6 0 3 2 0 3 5 1 5 5 4 4 3 4,-31.23060714976899,43808
3,21,5 7 1 4 0 6 6 7 3 4 3 6 0 6 1 6 2 3 1 1 2 1 7 3 7 3 5 3,-31.644440057771018,323392
3,22,4 7 1 0 5 4 3 3 0 1 4 5 7 6 0 1 6 7 7 2 4 6 0 5 2 1 2 7,-31.38408944455931,93312
3,23,5 7 1 4 0 6 6 7 3 4 3 6 0 6 2 4 7 0 6 1 6 4 2 1 7 7 2 2,-31.436457663955046,195232
3,24,6 3 7 7 5 6 4 1 2 0 6 2 3 6 2 4 6 3 0 2 0 2 7 1 1 5 1 1,-31.758901977265676,1141104
3,25,4 3 4 5 3 0 2 6 0 7 7 7 5 0 4 0 6 4 3 5 3 5 4 4 3 7 1 2,-31.08169043565755,61792
3,26,4 2 3 6 1 2 0 4 5 6 0 1 3 6 0 4 6 2 1 7 2 4 7 3 2 0 5 6,-31.0955681739756,77008
3,27,4 7 2 3 3 2 0 3 5 2 4 4 1 0 3 4 4 0 5 1 7 4 5 4 5 2 4 2,-28.892950556264047,45072
3,28,4 5 2 1 6 2 5 6 2 5 4 1 1 2 0 4 4 6 2 3 0 2 0 0 4 1 4 4,-30.901333095948303,60880
3,29,4 7 2 3 3 2 5 1 1 2 4 4 1 0 3 4 4 0 5 1 7 4 5 4 5 2 4 2,-28.927813700065617,51488
3,30,0 3 1 7 3 6 1 4 5 0 3 7 0 0 0 3 7 2 1 7 3 4 6 1 6 2 1 6,-30.871466726576674,52384
3,31,1 7 6 1 5 2 2 0 3 1 4 1 5 3 5 0 7 5 5 2 5 2 5 0 2 2 4 3,-31.46202281430909,326816
3,32,6 3 7 7 5 6 4 1 2 1 6 7 4 4 7 4 6 3 0 2 0 2 7 1 1 5 1 1,-31.601407974202143,1028208
3,33,1 7 6 1 5 2 2 0 1 0 7 2 6 5 1 6 2 3 1 6 2 2 5 0 2 3 4 3,-31.54272993524095,436864
3,34,4 0 3 3 1 3 1 7 3 1 4 1 5 4 5 0 7 5 5 2 5 2 5 0 2 2 5 3,-31.103194315228496,98576
3,35,5 7 1 4 0 6 6 7 0 4 3 6 0 6 5 4 7 0 6 1 6 4 2 1 0 7 2 1,-31.277761062716177,151104
3,36,5 7 0 1 0 1 5 0 6 3 0 1 0 6 7 4 6 2 1 0 2 1 6 0 0 7 6 0,-31.310204957387988,288512
3,37,7 3 7 7 5 6 4 1 1 1 6 7 4 4 7 4 6 3 0 2 2 4 1 1 4 5 1 1,-31.69033511376744,1817312
3,38,0 7 6 7 7 5 7 3 1 1 1 6 5 3 6 7 6 4 1 3 3 5 3 1 2 7 0 6,-31.014022945129586,78032
3,39,4 2 0 0 4 3 1 4 6 4 2 4 2 7 2 2 0 6 7 6 5 0 6 6 4 6 5 1,-28.771386591276123,45232
