Net,train_psnr,valid_psnr
"[4, 1, 3, 2, 7, 5, 4, 1, 7, 7, 3, 7, 7, 6, 2, 7, 3, 2, 2, 0, 2, 4, 4, 5, 1, 7, 6, 5]",34.73703003,34.04037094
"[0, 2, 0, 7, 0, 0, 5, 0, 3, 2, 6, 4, 7, 3, 7, 5, 5, 1, 7, 4, 6, 4, 2, 1, 7, 4, 2, 0]",33.67356873,33.70607758
"[0, 6, 6, 0, 1, 3, 1, 3, 7, 0, 1, 0, 6, 0, 5, 6, 0, 6, 6, 6, 0, 3, 3, 2, 0, 1, 4, 7]",34.65361404,34.42390823
"[1, 2, 6, 3, 3, 3, 5, 1, 5, 3, 3, 0, 4, 0, 4, 4, 0, 0, 4, 6, 3, 0, 4, 6, 4, 2, 5, 4]",35.0663147,33.78495789
"[4, 7, 7, 5, 4, 2, 5, 1, 5, 0, 4, 6, 6, 4, 3, 7, 0, 1, 1, 5, 6, 4, 6, 6, 3, 7, 3, 7]",33.71751404,33.21477127
"[5, 0, 7, 7, 1, 6, 3, 3, 0, 4, 2, 3, 1, 4, 1, 4, 2, 5, 6, 4, 2, 6, 5, 2, 7, 5, 6, 6]",33.80568314,33.66792297
"[4, 5, 4, 4, 3, 5, 5, 5, 5, 7, 6, 3, 5, 1, 3, 0, 6, 2, 5, 2, 0, 5, 3, 4, 7, 7, 2, 7]",34.99515915,33.25045776
"[7, 5, 0, 6, 6, 5, 2, 2, 7, 4, 0, 5, 4, 1, 1, 6, 7, 1, 4, 2, 1, 1, 7, 5, 7, 1, 6, 3]",34.65983582,33.34971619
"[2, 3, 1, 7, 1, 0, 1, 6, 5, 2, 6, 6, 1, 3, 2, 3, 6, 4, 5, 0, 3, 6, 4, 6, 0, 4, 1, 0]",35.18359756,34.69829178
"[5, 2, 6, 2, 4, 5, 5, 2, 7, 1, 2, 4, 0, 3, 0, 4, 0, 5, 0, 1, 0, 4, 7, 2, 3, 7, 1, 6]",35.36410522,33.75323868
"[7, 0, 2, 7, 4, 4, 3, 3, 6, 7, 4, 7, 6, 6, 3, 7, 6, 1, 0, 2, 7, 0, 6, 2, 4, 1, 5, 3]",33.52193069,33.75883865
"[7, 5, 5, 6, 5, 5, 7, 3, 7, 1, 7, 1, 3, 6, 3, 5, 0, 6, 1, 7, 1, 7, 7, 1, 7, 6, 0, 7]",35.47864532,34.86201096
"[7, 1, 6, 4, 7, 7, 7, 5, 0, 4, 0, 4, 1, 4, 6, 0, 3, 3, 1, 6, 7, 5, 4, 4, 4, 6, 5, 1]",35.08366394,34.63722229
"[1, 0, 5, 5, 1, 4, 4, 4, 3, 3, 2, 1, 0, 7, 5, 4, 1, 6, 2, 7, 1, 6, 2, 3, 1, 3, 5, 2]",33.79328156,33.58909607
"[0, 0, 7, 2, 5, 3, 3, 0, 1, 2, 2, 3, 1, 7, 0, 3, 1, 0, 7, 5, 6, 6, 5, 2, 5, 0, 5, 4]",33.05181122,30.67642975
"[0, 3, 1, 6, 7, 6, 5, 4, 4, 2, 1, 7, 3, 7, 2, 1, 7, 7, 5, 3, 7, 6, 0, 2, 1, 2, 0, 4]",31.70901108,31.06100845
"[7, 0, 0, 6, 7, 1, 6, 0, 1, 7, 5, 4, 0, 3, 5, 2, 2, 3, 5, 2, 0, 3, 4, 7, 7, 7, 3, 1]",34.50870895,31.88636208
"[7, 4, 0, 4, 6, 1, 5, 3, 5, 1, 1, 6, 4, 1, 7, 4, 6, 2, 7, 0, 2, 5, 5, 7, 6, 0, 1, 0]",34.4486618,33.60783005
"[1, 3, 4, 7, 6, 5, 2, 2, 7, 1, 6, 1, 7, 2, 6, 6, 5, 7, 7, 4, 0, 0, 3, 4, 0, 7, 4, 1]",35.32212067,33.84532928
"[7, 5, 1, 6, 5, 2, 5, 0, 2, 0, 2, 0, 0, 5, 1, 1, 5, 6, 2, 0, 0, 6, 3, 6, 3, 2, 3, 2]",28.37829399,27.177742
"[2, 3, 4, 6, 5, 2, 7, 0, 6, 3, 2, 4, 6, 4, 6, 2, 3, 5, 7, 5, 6, 7, 1, 5, 1, 5, 5, 1]",28.80576897,28.23010445
